		// migemo-dictの追加辞書(Mecab辞書から変換)
		// 最終更新: 2018/03/19 BowmoreLover
		// 本辞書の用途について:
		// ・migemo-dictにマージすることを想定した追加辞書
		// ・辞書キーを置き換えるのではなく、候補列への置き換え/追加を想定している
		// ・migemo-dictとは異なり、本ファイルではタブで始まる行はコメント扱い
		// 本辞書の内容:
		// ・別ツール用に作成したTES/Fallout/TW3用語Mecab辞書から、次の用語を抽出して変換したもの
		//   名詞、副詞、連体詞
		// ・Mecab辞書はMecabで「読めない」用語だけが対象なので、全ての用語を網羅していない点に注意

りふてんすくりぷとしーんとりで	リフテンスクリプトシーン砦
さくすりーるりびんぐるーむけ	サクスリールリビングルーム家
さすらむだいのうえんこうげん	サスラム大農園高原
すとーんしぇーぱーさんちょう	ストーンシェーパー山頂
ぶろーくんすとりーむこうざん	ブロークンストリーム鉱山
ろすとないふどうくつこうざん	ロストナイフ洞窟鉱山
あいあんぶれーかーこうざん	アイアンブレーカー鉱山
くれいどるくらっしゅとりで	クレイドルクラッシュ砦
ちーずるしゅりーくこうざん	チーズルシュリーク鉱山
にるんくらっつはいこうざん	ニルンクラッツ廃鉱山
ほわいとふぉーるさんちょう	ホワイトフォール山頂
ぼーんすとるーんさんみゃく	ボーンストルーン山脈
ぼーんすとれうんさんみゃく	ボーンストレウン山脈
ろすとぷろすぺくとこうざん	ロストプロスペクト鉱山
いりあすせいどうこうざん	イリアス聖堂鉱山
うぉーたーさいどこうざん	ウォーターサイド鉱山
えんばーしゃーどこうざん	エンバーシャード鉱山
えんばーふりんとこうざん	エンバーフリント鉱山
がーでっどらいおんとりで	ガーデッドライオン砦
きんぐすくれすとこうざん	キングスクレスト鉱山
きんぐずくれすとこうざん	キングズクレスト鉱山
くりあすぷりんぐしょうこ	クリアスプリング小湖
くれすとしぇいどこうざん	クレストシェイド鉱山
ぐるーむばうんどこうざん	グルームバウンド鉱山
ごーるでんろっくこうざん	ゴールデンロック鉱山
しゅりーくうぃんどとりで	シュリークウィンド砦
すちーむすこーちこうざん	スチームスコーチ鉱山
てんじぇるすとらんどとう	テンジェルストランド島
でぃーぷくらっぐこうざん	ディープクラッグ鉱山
