		// migemo-dictの追加辞書(Skyrim用語辞書)
		// 最終更新: 2018/03/25 BowmoreLover
		// 本辞書の用途について:
		// ・migemo-dictにマージすることを想定した追加辞書
		// ・辞書キーを置き換えるのではなく、候補列への置き換え/追加を想定している
		// ・migemo-dictとは異なり、本ファイルではタブで始まる行はコメント扱い
		// 本辞書の内容:
		// ・バニラ公式訳から手動で用語を抽出したもの。
		//
		//	作者用のメモ：続きはinfo:namで検索して >33531から、LVFで3792から

blood of coldharbour's daughter	コールドハーバーの娘の血
goddess of the dusk and dawn	黄昏と暁の女神	黄昏と暁の神
daughters of coldharbour	コールドハーバーの娘
daughter of coldharbour	コールドハーバーの娘
emperor pelagius septim	皇帝ペラギウス・セプティム
coldharbour's daughter	コールドハーバーの娘
jarl idgrod ravencrone	イドグロッド・レイヴンクローン首長	首長イドグロッド・レイヴンクローン
jarl ulfric stormcloak	ウルフリック・ストームクローク首長	首長ウルフリック・ストームクローク
satakal the worldskin	ワールドスキンのサタカル
broken tower redoubt	ブロークン・タワー要塞
bruca's leap redoubt	ブルカズリープ要塞
emperor pelagius iii	皇帝ペラギウス三世	皇帝ペラギウス３世	皇帝ペラギウス3世
friga shatter-shield	フリガ・シャッター・シールド
jarl laila law-giver	ライラ・ロー・ギバー首長	首長ライラ・ロー・ギバー
white-gold concordat	白金協定
clan shatter-shield	シャッター・シールド家
dragon of the north	北方の竜
four shields tavern	フォー・シールズ
honorhall orphanage	オナーホール孤児院
pelinal whitestrake	ペリナル・ホワイトストレーク
the song of pelinal	ペリナルの歌
akaviri sculptural	アカヴィリ彫刻
emperor titus mede	皇帝タイタス・ミード
jarl of hjaalmarch	ハイヤルマーチの首長	ハイヤルマーチの族長
jarl of winterhold	ウィンターホールドの首長	ウィンターホールドの族長
skorm snow-strider	スコルム・スノー・ストライダー
candlehearth hall	キャンドルハース・ホール
duke of rimfarlin	リムファーリン公
ivarstead vilemyr	イヴァルステッド・ヴァイルマイヤー
jarl of eastmarch	イーストマーチの首長	イーストマーチの族長
jarl of falkreath	ファルクリースの首長	ファルクリースの族長
jarl of haafingar	ハーフィンガルの首長	ハーフィンガルの族長
jarl olaf one-eye	隻眼のオラフ首長
magister tendixus	賢者テンディクス	テンディクサス教官
red eagle redoubt	赤鷲要塞
sibbi black-briar	シビ・ブラック・ブライア
temple of dibella	ディベラ聖堂	ディベラの聖堂
the eight divines	八大神
the lunar lorkhan	月夜のロルカーン
unrelenting force	揺るぎ無き力
adamantine tower	アダマンチンの塔
aldmeri dominion	アルドメリ自治領	アルドメリ・ドミニオン
clan battoe-born	バトル・ボーン家	バトル・ボーン族
constance michel	コンスタンス・ミシェル
cyrodilic empire	シロディール帝国
dark brotherhood	闇の一党
