		// migemo-dictの追加辞書(Skyrimバニラレコード抽出)
		// 最終更新: 2018/03/19 BowmoreLover
		// 本辞書の用途について:
		// ・migemo-dictにマージすることを想定した追加辞書
		// ・辞書キーを置き換えるのではなく、候補列への置き換え/追加を想定している
		// ・migemo-dictとは異なり、本ファイルではタブで始まる行はコメント扱い
		// 本辞書の内容:
		// ・英語のスペリングで日本語を検索するための辞書
		// ・バニラのプラグインから*:FULL, *:SHRTレコードの英語原文・日本語訳文を抽出した

makes spell high priority for ai/cast once only	呪文をAIの最優先課題にする/一度かけるだけ
dragon ability giving them all damage bllod fx	ドラゴンの能力は全出血ダメージFXを彼らにもたらします
dragonscale gauntlets of peerless lockpicking	ドラゴンスケールの開錠術の篭手(無双)
no heart stones, ash guardian is uncontrolled	ハートストーンがないと、アッシュ・ガーディアンは制御を失う
dragonscale gauntlets of eminent lockpicking	ドラゴンスケールの開錠術の篭手(優)
dragonscale gauntlets of extreme lockpicking	ドラゴンスケールの開錠術の篭手(極限)
dragonscale gauntlets of peerless deft hands	ドラゴンスケールの器用さの篭手(無双)
dragonplate gauntlets of peerless sure grip	ドラゴンプレートの万力の篭手(無双)
dragonscale gauntlets of eminent deft hands	ドラゴンスケールの器用さの篭手(優)
dragonscale gauntlets of extreme deft hands	ドラゴンスケールの器用さの篭手(極限)
dragonscale gauntlets of peerless sure grip	ドラゴンスケールの万力の篭手(無双)
sacred stones only confer powers once a day	聖なる岩からは1日1度しか力を得られない
addition - north wing - alchemy laboratory	追加: 北棟の錬金術実験室
dragonplate gauntlets of eminent sure grip	ドラゴンプレートの万力の篭手(優)
dragonplate gauntlets of extreme sure grip	ドラゴンプレートの万力の篭手(極限)
dragonplate gauntlets of peerless smithing	ドラゴンプレートの鍛造術の篭手(無双)
dragonplate gauntlets of peerless wielding	ドラゴンプレートの巧妙さの篭手(無双)
dragonplate helmet of peerless destruction	ドラゴンプレートの破壊術の兜(無双)
dragonplate helmet of peerless restoration	ドラゴンプレートの回復術の兜(無双)
dragonscale gauntlets of eminent sure grip	ドラゴンスケールの万力の篭手(優)
dragonscale gauntlets of extreme sure grip	ドラゴンスケールの万力の篭手(極限)
dragonscale gauntlets of peerless smithing	ドラゴンスケールの鍛造術の篭手(無双)
dragonscale gauntlets of peerless wielding	ドラゴンスケールの巧妙さの篭手(無双)
dragonscale helmet of peerless destruction	ドラゴンスケールの破壊術の兜(無双)
dragonscale helmet of peerless restoration	ドラゴンスケールの回復術の兜(無双)
honed ancient nord greatsword of scorching	研いだ古代ノルドのグレートソード(火炎)
imperial light helmet of major conjuration	帝国軍の召喚術の軽兜(大)
imperial light helmet of major destruction	帝国軍の破壊術の軽兜(大)
imperial light helmet of minor conjuration	帝国軍の召喚術の軽兜(小)
imperial light helmet of minor destruction	帝国軍の破壊術の軽兜(小)
studded imperial armor of the major squire	鋲付きの大従者の帝国軍鎧
studded imperial armor of the minor squire	鋲付きの小従者の帝国軍鎧
alchemy laboratory, second floor supports	錬金術実験室: 2階の床
dragonplate armor of peerless destruction	ドラゴンプレートの破壊術の鎧(無双)
dragonplate armor of peerless restoration	ドラゴンプレートの破壊術の鎧(無双)
dragonplate gauntlets of eminent smithing	ドラゴンプレートの鍛造術の篭手(優)
dragonplate gauntlets of eminent wielding	ドラゴンプレートの巧妙さの篭手(優)
dragonplate gauntlets of extreme smithing	ドラゴンプレートの鍛造術の篭手(極限)
dragonplate gauntlets of extreme wielding	ドラゴンプレートの巧妙さの篭手(極限)
dragonplate gauntlets of peerless alchemy	ドラゴンプレートの錬金術の篭手(無双)
dragonplate gauntlets of peerless archery	ドラゴンプレートの弓術の篭手(無双)
dragonplate helmet of eminent destruction	ドラゴンプレートの破壊術の兜(優)
dragonplate helmet of eminent restoration	ドラゴンプレートの回復術の兜(優)
dragonplate helmet of extreme destruction	ドラゴンプレートの破壊術の兜(極限)
dragonplate helmet of extreme restoration	ドラゴンプレートの回復術の兜(極限)
dragonplate helmet of peerless alteration	ドラゴンプレートの変性術の兜(無双)
